timestamp,station,device_id,conductivity,temperature,pressure,salinity
2020-01-18 00:19:33,AMIGOS3C,80,3.00671,1.0645,791.779,34.68
2020-01-18 00:19:40,AMIGOS3C,9,2.73456,-1.3456,318.34,34.0531
2020-01-18 00:19:44,AMIGOS3C,8,2.47923,-2.3365,199.013,31.6798
2020-01-18 01:19:33,AMIGOS3C,80,3.00669,1.0642,791.776,34.68
2020-01-18 01:19:40,AMIGOS3C,9,2.73434,-1.3485,318.334,34.0534
2020-01-18 01:19:44,AMIGOS3C,8,2.47841,-2.342,199.012,31.6741
2020-01-18 02:19:33,AMIGOS3C,80,3.00665,1.0638,791.779,34.6799
2020-01-18 02:19:40,AMIGOS3C,9,2.73411,-1.3516,318.337,34.0538
2020-01-18 02:19:44,AMIGOS3C,8,2.47749,-2.345,199.011,31.6645
2020-01-18 03:19:33,AMIGOS3C,80,3.00689,1.0656,791.777,34.6809
2020-01-18 03:19:40,AMIGOS3C,9,2.73404,-1.3524,318.342,34.0537
2020-01-18 03:19:44,AMIGOS3C,8,2.47647,-2.3477,199.018,31.6532
2020-01-18 04:19:33,AMIGOS3C,80,3.00702,1.067,791.776,34.6812
2020-01-18 04:19:40,AMIGOS3C,9,2.73358,-1.3579,318.347,34.0537
2020-01-18 04:19:44,AMIGOS3C,8,2.47773,-2.3288,199.014,31.6504
2020-01-18 05:19:33,AMIGOS3C,80,3.00664,1.0637,791.776,34.6799
2020-01-18 05:19:40,AMIGOS3C,9,2.73188,-1.3783,318.345,34.0535
2020-01-18 05:19:44,AMIGOS3C,8,2.4768,-2.3465,199.014,31.6564
2020-01-18 06:19:33,AMIGOS3C,80,3.00661,1.0635,791.78,34.6797
2020-01-18 06:19:40,AMIGOS3C,9,2.73094,-1.3896,318.341,34.0534
2020-01-18 06:19:44,AMIGOS3C,8,2.47695,-2.3476,199.015,31.6598
2020-01-18 07:19:33,AMIGOS3C,80,3.00665,1.0638,791.777,34.6798
2020-01-18 07:19:40,AMIGOS3C,9,2.73137,-1.3861,318.344,34.0553
2020-01-18 07:19:44,AMIGOS3C,8,2.47714,-2.3509,199.016,31.6661
2020-01-18 08:19:33,AMIGOS3C,80,3.00671,1.0644,791.784,34.68
2020-01-18 08:19:40,AMIGOS3C,9,2.73136,-1.3863,318.346,34.0555
2020-01-18 08:19:44,AMIGOS3C,8,2.47663,-2.3526,199.015,31.6607
2020-01-18 09:19:33,AMIGOS3C,80,3.00673,1.0645,791.774,34.6801
2020-01-18 09:19:40,AMIGOS3C,9,2.73205,-1.3772,318.343,34.0547
2020-01-18 09:19:44,AMIGOS3C,8,2.47599,-2.354,199.008,31.6533
2020-01-18 10:19:33,AMIGOS3C,80,3.00671,1.0643,791.772,34.6802
